L4 | Thu Jul 12 11:17:14 2018 (157 ms) | general | New game starting up
L4 | Thu Jul 12 11:17:14 2018 (157 ms) | general | Target game image size:  1024x600

L4 | Thu Jul 12 11:17:14 2018 (158 ms) | general | Ideal window dimensions:  1280x720

L4 | Thu Jul 12 11:17:14 2018 (158 ms) | general | Trying to start in fullscreen mode.
L4 | Thu Jul 12 11:17:14 2018 (159 ms) | general | The following frame rates are considered possible:
L4 | Thu Jul 12 11:17:14 2018 (159 ms) | general | 30 fps
L4 | Thu Jul 12 11:17:14 2018 (159 ms) | general | 60 fps
L4 | Thu Jul 12 11:17:14 2018 (159 ms) | general | 120 fps
L4 | Thu Jul 12 11:17:14 2018 (159 ms) | general | 144 fps
L4 | Thu Jul 12 11:17:14 2018 (165 ms) | general | Setting real (not borderless) fullscreen mode
L4 | Thu Jul 12 11:17:14 2018 (165 ms) | general | Current screen configuration is 1920x1080 with aspect ratio 1.77
L4 | Thu Jul 12 11:17:14 2018 (165 ms) | general | Sticking with user's current screen resolution
L4 | Thu Jul 12 11:17:14 2018 (165 ms) | general | Checking if requested video mode (1920x1080) is available
L4 | Thu Jul 12 11:17:14 2018 (165 ms) | general | Available video modes:
L5 | Thu Jul 12 11:17:14 2018 (165 ms) | general |    1920 x 1080

L4 | Thu Jul 12 11:17:14 2018 (165 ms) | general |    ^^^^ this mode matches current aspect ratio
L4 | Thu Jul 12 11:17:14 2018 (165 ms) | general |    ^^^^ this mode matches requested mode
L5 | Thu Jul 12 11:17:14 2018 (165 ms) | general |    1680 x 1050

L5 | Thu Jul 12 11:17:14 2018 (165 ms) | general |    1600 x 900

L4 | Thu Jul 12 11:17:14 2018 (165 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Thu Jul 12 11:17:14 2018 (165 ms) | general |    1440 x 900

L5 | Thu Jul 12 11:17:14 2018 (165 ms) | general |    1400 x 1050

L5 | Thu Jul 12 11:17:14 2018 (165 ms) | general |    1366 x 768

L4 | Thu Jul 12 11:17:14 2018 (165 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Thu Jul 12 11:17:14 2018 (165 ms) | general |    1360 x 768

L4 | Thu Jul 12 11:17:14 2018 (165 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Thu Jul 12 11:17:14 2018 (165 ms) | general |    1280 x 1024

L5 | Thu Jul 12 11:17:14 2018 (165 ms) | general |    1280 x 960

L5 | Thu Jul 12 11:17:14 2018 (165 ms) | general |    1280 x 800

L5 | Thu Jul 12 11:17:14 2018 (165 ms) | general |    1280 x 768

L5 | Thu Jul 12 11:17:14 2018 (165 ms) | general |    1280 x 720

L4 | Thu Jul 12 11:17:14 2018 (165 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Thu Jul 12 11:17:14 2018 (165 ms) | general |    1280 x 600

L5 | Thu Jul 12 11:17:14 2018 (165 ms) | general |    1152 x 864

L5 | Thu Jul 12 11:17:14 2018 (165 ms) | general |    1024 x 768

L5 | Thu Jul 12 11:17:14 2018 (165 ms) | general |    800 x 600

L5 | Thu Jul 12 11:17:14 2018 (165 ms) | general |    640 x 480

L5 | Thu Jul 12 11:17:14 2018 (165 ms) | general |    640 x 400

L5 | Thu Jul 12 11:17:14 2018 (165 ms) | general |    512 x 384

L5 | Thu Jul 12 11:17:14 2018 (165 ms) | general |    400 x 300

L5 | Thu Jul 12 11:17:14 2018 (165 ms) | general |    320 x 240

L5 | Thu Jul 12 11:17:14 2018 (165 ms) | general |    320 x 200

L4 | Thu Jul 12 11:17:14 2018 (401 ms) | general | Successfully opened audio: 44100Hz (requested 44100Hz), sample buffer size=1024 (requested 1024)

L4 | Thu Jul 12 11:17:14 2018 (688 ms) | general | Recording game into file recordedGames\recordedGame00001.txt
L4 | Thu Jul 12 11:20:43 2018 (427 ms) | general | exiting...

L4 | Thu Jul 12 11:20:43 2018 (427 ms) | general | exiting: calling SDL_CloseAudio

L4 | Thu Jul 12 11:20:43 2018 (466 ms) | general | exiting: Deleting sceneHandler

L4 | Thu Jul 12 11:20:43 2018 (466 ms) | general | Freeing sound sprites

L4 | Thu Jul 12 11:20:43 2018 (466 ms) | general | exiting: freeing frameDrawer

L4 | Thu Jul 12 11:20:43 2018 (558 ms) | general | exiting: Deleting screen

L4 | Thu Jul 12 11:20:43 2018 (563 ms) | general | exiting: freeing drawString

L4 | Thu Jul 12 11:20:43 2018 (565 ms) | general | exiting: calling SDL_Quit()

L4 | Thu Jul 12 11:20:43 2018 (843 ms) | general | exiting: Done.

L4 | Thu Jul 12 11:21:07 2018 (725 ms) | general | New game starting up
L4 | Thu Jul 12 11:21:07 2018 (725 ms) | general | Target game image size:  1024x600

L4 | Thu Jul 12 11:21:07 2018 (726 ms) | general | Ideal window dimensions:  1280x720

L4 | Thu Jul 12 11:21:07 2018 (726 ms) | general | Trying to start in fullscreen mode.
L4 | Thu Jul 12 11:21:07 2018 (727 ms) | general | The following frame rates are considered possible:
L4 | Thu Jul 12 11:21:07 2018 (727 ms) | general | 30 fps
L4 | Thu Jul 12 11:21:07 2018 (727 ms) | general | 60 fps
L4 | Thu Jul 12 11:21:07 2018 (727 ms) | general | 120 fps
L4 | Thu Jul 12 11:21:07 2018 (727 ms) | general | 144 fps
L4 | Thu Jul 12 11:21:07 2018 (731 ms) | general | Setting real (not borderless) fullscreen mode
L4 | Thu Jul 12 11:21:07 2018 (731 ms) | general | Current screen configuration is 1920x1080 with aspect ratio 1.77
L4 | Thu Jul 12 11:21:07 2018 (731 ms) | general | Sticking with user's current screen resolution
L4 | Thu Jul 12 11:21:07 2018 (731 ms) | general | Checking if requested video mode (1920x1080) is available
L4 | Thu Jul 12 11:21:07 2018 (731 ms) | general | Available video modes:
L5 | Thu Jul 12 11:21:07 2018 (731 ms) | general |    1920 x 1080

L4 | Thu Jul 12 11:21:07 2018 (731 ms) | general |    ^^^^ this mode matches current aspect ratio
L4 | Thu Jul 12 11:21:07 2018 (731 ms) | general |    ^^^^ this mode matches requested mode
L5 | Thu Jul 12 11:21:07 2018 (731 ms) | general |    1680 x 1050

L5 | Thu Jul 12 11:21:07 2018 (731 ms) | general |    1600 x 900

L4 | Thu Jul 12 11:21:07 2018 (731 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Thu Jul 12 11:21:07 2018 (731 ms) | general |    1440 x 900

L5 | Thu Jul 12 11:21:07 2018 (731 ms) | general |    1400 x 1050

L5 | Thu Jul 12 11:21:07 2018 (731 ms) | general |    1366 x 768

L4 | Thu Jul 12 11:21:07 2018 (731 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Thu Jul 12 11:21:07 2018 (731 ms) | general |    1360 x 768

L4 | Thu Jul 12 11:21:07 2018 (731 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Thu Jul 12 11:21:07 2018 (731 ms) | general |    1280 x 1024

L5 | Thu Jul 12 11:21:07 2018 (731 ms) | general |    1280 x 960

L5 | Thu Jul 12 11:21:07 2018 (731 ms) | general |    1280 x 800

L5 | Thu Jul 12 11:21:07 2018 (731 ms) | general |    1280 x 768

L5 | Thu Jul 12 11:21:07 2018 (731 ms) | general |    1280 x 720

L4 | Thu Jul 12 11:21:07 2018 (731 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Thu Jul 12 11:21:07 2018 (731 ms) | general |    1280 x 600

L5 | Thu Jul 12 11:21:07 2018 (731 ms) | general |    1152 x 864

L5 | Thu Jul 12 11:21:07 2018 (731 ms) | general |    1024 x 768

L5 | Thu Jul 12 11:21:07 2018 (731 ms) | general |    800 x 600

L5 | Thu Jul 12 11:21:07 2018 (731 ms) | general |    640 x 480

L5 | Thu Jul 12 11:21:07 2018 (731 ms) | general |    640 x 400

L5 | Thu Jul 12 11:21:07 2018 (731 ms) | general |    512 x 384

L5 | Thu Jul 12 11:21:07 2018 (731 ms) | general |    400 x 300

L5 | Thu Jul 12 11:21:07 2018 (731 ms) | general |    320 x 240

L5 | Thu Jul 12 11:21:07 2018 (731 ms) | general |    320 x 200

L4 | Thu Jul 12 11:21:07 2018 (966 ms) | general | Successfully opened audio: 44100Hz (requested 44100Hz), sample buffer size=1024 (requested 1024)

L4 | Thu Jul 12 11:21:08 2018 (261 ms) | general | Recording game into file recordedGames\recordedGame00002.txt
L4 | Thu Jul 12 11:22:13 2018 (284 ms) | general | exiting...

L4 | Thu Jul 12 11:22:13 2018 (284 ms) | general | exiting: calling SDL_CloseAudio

L4 | Thu Jul 12 11:22:13 2018 (346 ms) | general | exiting: Deleting sceneHandler

L4 | Thu Jul 12 11:22:13 2018 (346 ms) | general | Freeing sound sprites

L4 | Thu Jul 12 11:22:13 2018 (346 ms) | general | exiting: freeing frameDrawer

L4 | Thu Jul 12 11:22:13 2018 (417 ms) | general | exiting: Deleting screen

L4 | Thu Jul 12 11:22:13 2018 (423 ms) | general | exiting: freeing drawString

L4 | Thu Jul 12 11:22:13 2018 (425 ms) | general | exiting: calling SDL_Quit()

L4 | Thu Jul 12 11:22:13 2018 (722 ms) | general | exiting: Done.

L4 | Thu Jul 12 12:26:38 2018 (117 ms) | general | New game starting up
L4 | Thu Jul 12 12:26:38 2018 (117 ms) | general | Target game image size:  1280x720

L4 | Thu Jul 12 12:26:38 2018 (119 ms) | general | Ideal window dimensions:  1280x720

L4 | Thu Jul 12 12:26:38 2018 (120 ms) | general | Trying to start in fullscreen mode.
L4 | Thu Jul 12 12:26:38 2018 (122 ms) | general | The following frame rates are considered possible:
L4 | Thu Jul 12 12:26:38 2018 (122 ms) | general | 30 fps
L4 | Thu Jul 12 12:26:38 2018 (122 ms) | general | 60 fps
L4 | Thu Jul 12 12:26:38 2018 (122 ms) | general | 120 fps
L4 | Thu Jul 12 12:26:38 2018 (122 ms) | general | 144 fps
L4 | Thu Jul 12 12:26:38 2018 (124 ms) | general | Setting real (not borderless) fullscreen mode
L4 | Thu Jul 12 12:26:38 2018 (124 ms) | general | Current screen configuration is 1920x1080 with aspect ratio 1.77
L4 | Thu Jul 12 12:26:38 2018 (124 ms) | general | Sticking with user's current screen resolution
L4 | Thu Jul 12 12:26:38 2018 (124 ms) | general | Checking if requested video mode (1920x1080) is available
L4 | Thu Jul 12 12:26:38 2018 (124 ms) | general | Available video modes:
L5 | Thu Jul 12 12:26:38 2018 (124 ms) | general |    1920 x 1080

L4 | Thu Jul 12 12:26:38 2018 (124 ms) | general |    ^^^^ this mode matches current aspect ratio
L4 | Thu Jul 12 12:26:38 2018 (124 ms) | general |    ^^^^ this mode matches requested mode
L5 | Thu Jul 12 12:26:38 2018 (124 ms) | general |    1680 x 1050

L5 | Thu Jul 12 12:26:38 2018 (124 ms) | general |    1600 x 900

L4 | Thu Jul 12 12:26:38 2018 (124 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Thu Jul 12 12:26:38 2018 (124 ms) | general |    1440 x 900

L5 | Thu Jul 12 12:26:38 2018 (124 ms) | general |    1400 x 1050

L5 | Thu Jul 12 12:26:38 2018 (124 ms) | general |    1366 x 768

L4 | Thu Jul 12 12:26:38 2018 (124 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Thu Jul 12 12:26:38 2018 (124 ms) | general |    1360 x 768

L4 | Thu Jul 12 12:26:38 2018 (124 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Thu Jul 12 12:26:38 2018 (125 ms) | general |    1280 x 1024

L5 | Thu Jul 12 12:26:38 2018 (125 ms) | general |    1280 x 960

L5 | Thu Jul 12 12:26:38 2018 (125 ms) | general |    1280 x 800

L5 | Thu Jul 12 12:26:38 2018 (125 ms) | general |    1280 x 768

L5 | Thu Jul 12 12:26:38 2018 (125 ms) | general |    1280 x 720

L4 | Thu Jul 12 12:26:38 2018 (125 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Thu Jul 12 12:26:38 2018 (125 ms) | general |    1280 x 600

L5 | Thu Jul 12 12:26:38 2018 (125 ms) | general |    1152 x 864

L5 | Thu Jul 12 12:26:38 2018 (125 ms) | general |    1024 x 768

L5 | Thu Jul 12 12:26:38 2018 (125 ms) | general |    800 x 600

L5 | Thu Jul 12 12:26:38 2018 (125 ms) | general |    640 x 480

L5 | Thu Jul 12 12:26:38 2018 (125 ms) | general |    640 x 400

L5 | Thu Jul 12 12:26:38 2018 (125 ms) | general |    512 x 384

L5 | Thu Jul 12 12:26:38 2018 (125 ms) | general |    400 x 300

L5 | Thu Jul 12 12:26:38 2018 (125 ms) | general |    320 x 240

L5 | Thu Jul 12 12:26:38 2018 (125 ms) | general |    320 x 200

L4 | Thu Jul 12 12:26:38 2018 (368 ms) | general | Successfully opened audio: 44100Hz (requested 44100Hz), sample buffer size=1024 (requested 1024)

L4 | Thu Jul 12 12:26:38 2018 (647 ms) | general | Recording game into file recordedGames\recordedGame00003.txt
L4 | Thu Jul 12 12:27:10 2018 (104 ms) | general | Relaunching game OneLife.exe
L4 | Thu Jul 12 12:27:10 2018 (107 ms) | general | exiting...

